date,img_name,target,video_id
20180806,1_20180806_frames000000,0,1
20180806,1_20180806_frames000001,0,1
20180806,1_20180806_frames000002,0,1
20180806,1_20180806_frames000003,0,1
20180806,1_20180806_frames000004,0,1
20180806,1_20180806_frames000005,0,1
20180806,1_20180806_frames000006,0,1
20180806,1_20180806_frames000007,0,1
20180806,1_20180806_frames000008,0,1
20180806,1_20180806_frames000009,0,1
20180806,1_20180806_frames000010,0,1
20180806,1_20180806_frames000011,0,1
20180806,1_20180806_frames000012,0,1
20180806,1_20180806_frames000013,0,1
20180806,1_20180806_frames000014,0,1
20180806,1_20180806_frames000015,0,1
20180806,1_20180806_frames000016,0,1
20180806,1_20180806_frames000017,0,1
20180806,1_20180806_frames000018,0,1
20180806,1_20180806_frames000019,0,1
20180806,1_20180806_frames000020,0,1
20180806,1_20180806_frames000021,0,1
20180806,1_20180806_frames000022,0,1
20180806,1_20180806_frames000023,0,1
20180806,1_20180806_frames000024,0,1
20180806,1_20180806_frames000025,0,1
20180806,1_20180806_frames000026,0,1
20180806,1_20180806_frames000027,0,1
20180806,1_20180806_frames000028,0,1
20180806,1_20180806_frames000029,0,1
20180806,1_20180806_frames000030,0,1
20180806,1_20180806_frames000031,0,1
20180806,1_20180806_frames000032,0,1
20180806,1_20180806_frames000033,0,1
20180806,1_20180806_frames000034,0,1
20180806,1_20180806_frames000035,0,1
20180806,1_20180806_frames000036,0,1
20180806,1_20180806_frames000037,0,1
20180806,1_20180806_frames000038,0,1
20180806,1_20180806_frames000039,0,1
20180806,1_20180806_frames000040,0,1
20180806,1_20180806_frames000041,0,1
20180806,1_20180806_frames000042,0,1
20180806,1_20180806_frames000043,0,1
20180806,1_20180806_frames000044,0,1
20180806,1_20180806_frames000045,0,1
20180806,1_20180806_frames000046,0,1
20180806,1_20180806_frames000047,0,1
20180806,1_20180806_frames000048,0,1
20180806,1_20180806_frames000049,0,1
20180806,1_20180806_frames000050,0,1
20180806,1_20180806_frames000051,0,1
20180806,1_20180806_frames000052,0,1
