video_id,video_path,image_path,action,person_id,x1,y1,w,h
34,34_20190110_frames103839,34_20190110_frames103839,rubbing_hands,0,296.31,91.926,163.32699999999994,285.02200000000005
34,34_20190110_frames103839,34_20190110_frames103840,rubbing_hands,0,295.10400000000004,87.0437,175.505,287.71930000000003
34,34_20190110_frames103839,34_20190110_frames103841,rubbing_hands,0,296.964,91.1326,166.72400000000005,293.81540000000007
34,34_20190110_frames103839,34_20190110_frames103842,rubbing_hands,0,292.394,88.4648,141.214,292.18320000000006
34,34_20190110_frames103839,34_20190110_frames103843,rubbing_hands,0,298.285,89.2231,134.20599999999996,280.0819
34,34_20190110_frames103839,34_20190110_frames103844,rubbing_hands,0,292.757,89.6111,141.72700000000003,291.9759
34,34_20190110_frames103839,34_20190110_frames103845,rubbing_hands,0,299.061,88.9441,134.18800000000005,303.8959
34,34_20190110_frames103839,34_20190110_frames103846,rubbing_hands,0,299.705,84.786,137.79900000000004,301.64
34,34_20190110_frames103839,34_20190110_frames103847,rubbing_hands,0,294.01599999999996,88.8671,133.24400000000003,290.8499
34,34_20190110_frames103839,34_20190110_frames103848,rubbing_hands,0,299.75,89.5511,125.59800000000001,285.95589999999993
34,34_20190110_frames103839,34_20190110_frames103849,rubbing_hands,0,295.282,88.5403,124.60600000000005,285.8297
34,34_20190110_frames103839,34_20190110_frames103850,rubbing_hands,0,292.19599999999997,88.0216,124.50900000000001,297.95439999999996
34,34_20190110_frames103839,34_20190110_frames103851,rubbing_hands,0,290.879,86.7988,125.29500000000002,303.2922
34,34_20190110_frames103839,34_20190110_frames103852,rubbing_hands,0,291.14599999999996,88.7014,123.20100000000002,298.96860000000004
34,34_20190110_frames103839,34_20190110_frames103853,rubbing_hands,0,291.039,89.4798,123.00900000000001,300.14119999999997
34,34_20190110_frames103839,34_20190110_frames103854,rubbing_hands,0,290.639,88.529,121.80699999999996,304.202
34,34_20190110_frames103839,34_20190110_frames103855,rubbing_hands,0,292.57,86.92399999999999,112.99000000000001,304.947
34,34_20190110_frames103839,34_20190110_frames103856,rubbing_hands,0,293.074,83.9279,108.27699999999999,305.33709999999996
