video_id,clip_name,action_name,person_id,occlusion
9,9_20181123_frames004715,touching_equipment,1,0
9,9_20181123_frames004715,touching_patient,2,1
9,9_20181123_frames000824,touching_equipment,0,0
9,9_20181123_frames000824,touching_patient,2,1
9,9_20181123_frames000589,touching_equipment,1,0
9,9_20181123_frames000589,touching_patient,3,1
8,8_20181122_frames034404,touching_equipment,0,0
8,8_20181122_frames032573,wearing_gloves,1,0
8,8_20181122_frames032573,touching_patient,0,0
8,8_20181122_frames032255,wearing_gloves,0,0
8,8_20181122_frames032088,wearing_gloves,1,0
8,8_20181122_frames029773,wearing_gloves,0,0
8,8_20181122_frames029773,touching_patient,4,0
8,8_20181122_frames029697,wearing_gloves,0,0
8,8_20181122_frames026325,wearing_gloves,0,0
8,8_20181122_frames024370,touching_equipment,2,1
8,8_20181122_frames014201,touching_patient,0,0
8,8_20181122_frames007599,touching_equipment,1,0
8,8_20181122_frames005507,wearing_gloves,0,0
8,8_20181122_frames005380,wearing_gloves,0,0
8,8_20181122_frames002387,touching_equipment,0,0
8,8_20181122_frames001291,rubbing_hands,3,0
5,5_20181119_frames103668,wearing_gloves,1,0
5,5_20181119_frames100784,touching_equipment,0,0
5,5_20181119_frames099422,touching_equipment,1,0
5,5_20181119_frames099390,touching_equipment,1,0
5,5_20181119_frames098319,touching_equipment,0,0
5,5_20181119_frames096953,touching_equipment,2,0
5,5_20181119_frames096953,touching_equipment,0,0
5,5_20181119_frames096800,touching_equipment,0,0
5,5_20181119_frames096674,touching_equipment,1,0
5,5_20181119_frames096180,wearing_gloves,0,0
5,5_20181119_frames096126,wearing_gloves,0,0
5,5_20181119_frames096003,wearing_gloves,0,0
5,5_20181119_frames094950,rubbing_hands,0,0
5,5_20181119_frames093945,touching_equipment,1,0
5,5_20181119_frames087004,touching_equipment,0,0
5,5_20181119_frames085945,touching_equipment,1,0
5,5_20181119_frames085808,touching_equipment,3,0
5,5_20181119_frames084338,wearing_gloves,1,0
5,5_20181119_frames084287,wearing_gloves,2,0
5,5_20181119_frames083827,touching_equipment,1,0
5,5_20181119_frames083618,wearing_gloves,1,0
5,5_20181119_frames083563,wearing_gloves,1,0
5,5_20181119_frames083547,touching_equipment,0,0
5,5_20181119_frames083376,touching_equipment,1,0
5,5_20181119_frames040984,wearing_gloves,2,0
5,5_20181119_frames040984,touching_patient,3,0
5,5_20181119_frames039964,touching_equipment,1,1
5,5_20181119_frames036816,touching_equipment,1,0
5,5_20181119_frames036457,touching_equipment,0,0
5,5_20181119_frames034572,touching_equipment,3,0
5,5_20181119_frames034556,touching_equipment,0,0
5,5_20181119_frames033742,wearing_gloves,1,1
5,5_20181119_frames032262,touching_equipment,0,0
5,5_20181119_frames031761,touching_equipment,0,0
5,5_20181119_frames030007,rubbing_hands,0,0
5,5_20181119_frames022083,wearing_gloves,0,0
5,5_20181119_frames021546,touching_equipment,1,0
5,5_20181119_frames017738,touching_equipment,0,0
45,45_20190227_frames079822,removing_gloves,1,1
45,45_20190227_frames078204,wearing_gloves,0,0
45,45_20190227_frames042768,wearing_gloves,0,0
45,45_20190227_frames034623,wearing_gloves,3,0
45,45_20190227_frames034623,touching_patient,5,0
42,42_20190214_frames065197,wearing_gloves,,1
42,42_20190214_frames058246,wearing_gloves,3,1
42,42_20190214_frames053611,wearing_gloves,1,1
